feature,importance
CGPA,0.40542512621974375
Department,0.3000989465561239
Stress_Level,0.14180149658037225
Age,0.13880208269615701
Physical_Activity,0.006860501892697544
Sleep_Duration,0.0044888244261631965
Gender,0.0009532859837461452
Study_Hours,0.0008384382680312096
Social_Media_Hours,0.0007312973769651754
